Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000brv4,F,"Wednesday, August  8, 2012 14:05:19 UTC",54.9804,-161.2221,5.6,55.50,610,"Alaska Peninsula"
ak,10529453,2,"Wednesday, August  8, 2012 12:50:06 UTC",59.2464,-137.9158,2.7,0.00,32,"British Columbia, Canada"
us,b000brtf,4,"Wednesday, August  8, 2012 12:08:19 UTC",-15.9868,177.8519,4.9,9.50,126,"Fiji"
us,b000brqt,7,"Wednesday, August  8, 2012 10:57:44 UTC",-16.0411,178.1408,5.8,12.30,306,"Fiji"
us,b000brpz,7,"Wednesday, August  8, 2012 10:09:17 UTC",-54.9749,-27.7254,4.7,9.20,35,"South Sandwich Islands region"
ak,10529406,3,"Wednesday, August  8, 2012 09:43:18 UTC",52.7170,-169.6283,3.8,5.00,29,"Fox Islands, Aleutian Islands, Alaska"
ak,10529387,2,"Wednesday, August  8, 2012 09:12:39 UTC",62.3851,-151.2455,2.7,89.00,49,"Central Alaska"
us,b000brna,6,"Wednesday, August  8, 2012 09:00:44 UTC",-5.8230,154.7866,4.5,163.20,52,"Bougainville region, Papua New Guinea"
nc,71828361,3,"Wednesday, August  8, 2012 08:50:44 UTC",40.1282,-122.7590,2.6,10.70,21,"Northern California"
us,b000brml,4,"Wednesday, August  8, 2012 08:35:14 UTC",-9.5931,-75.5657,4.5,93.60,56,"central Peru"
pr,12221000,0,"Wednesday, August  8, 2012 07:44:05 UTC",19.6198,-67.9247,3.3,34.00,11,"Dominican Republic region"
us,b000brll,B,"Wednesday, August  8, 2012 07:11:02 UTC",25.8820,125.0368,5.5,135.00,395,"southwestern Ryukyu Islands, Japan"
ci,15189073,5,"Wednesday, August  8, 2012 06:23:34 UTC",33.9048,-117.7917,4.5,10.10,219,"Greater Los Angeles area, California"
us,b000brkn,8,"Wednesday, August  8, 2012 05:57:20 UTC",48.1176,146.3784,4.7,486.30,514,"Sea of Okhotsk"
ak,10529322,2,"Wednesday, August  8, 2012 05:42:42 UTC",51.8954,179.7471,3.0,176.10,15,"Rat Islands, Aleutian Islands, Alaska"
nc,71828246,8,"Wednesday, August  8, 2012 02:56:56 UTC",41.1598,-123.3957,2.7,40.00,48,"Northern California"
uw,60450641,2,"Tuesday, August  7, 2012 23:59:45 UTC",47.6903,-120.2983,3.1,0.00,14,"Washington"
us,b000brh6,4,"Tuesday, August  7, 2012 23:57:39 UTC",38.6622,28.1263,4.0,7.90,29,"western Turkey"
us,b000brhf,6,"Tuesday, August  7, 2012 23:54:11 UTC",36.9967,141.1463,4.5,40.40,51,"near the east coast of Honshu, Japan"
us,b000brh7,5,"Tuesday, August  7, 2012 23:48:00 UTC",-17.5925,-178.7808,4.5,516.10,43,"Fiji region"
us,b000brfy,4,"Tuesday, August  7, 2012 23:17:39 UTC",38.6572,28.0557,4.0,8.90,29,"western Turkey"
us,b000bret,6,"Tuesday, August  7, 2012 22:48:06 UTC",-0.6140,133.8840,4.6,33.00,32,"near the north coast of Papua, Indonesia"
ak,10529209,2,"Tuesday, August  7, 2012 22:45:07 UTC",51.2760,-178.1698,3.2,25.60,20,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10529242,4,"Tuesday, August  7, 2012 21:59:04 UTC",51.8124,178.4738,2.6,124.90,11,"Rat Islands, Aleutian Islands, Alaska"
ak,10532721,3,"Tuesday, August  7, 2012 20:44:12 UTC",67.3537,-167.2670,3.5,24.80,12,"Bering Strait"
us,b000br93,6,"Tuesday, August  7, 2012 20:36:45 UTC",-22.4937,-63.8450,4.6,35.60,48,"Salta, Argentina"
ak,10529110,3,"Tuesday, August  7, 2012 19:43:41 UTC",53.2428,-170.1423,3.3,224.50,30,"Fox Islands, Aleutian Islands, Alaska"
us,b000br3l,6,"Tuesday, August  7, 2012 19:20:41 UTC",3.6000,126.6215,4.9,69.50,82,"Kepulauan Talaud, Indonesia"
ak,10528898,2,"Tuesday, August  7, 2012 18:21:16 UTC",60.0388,-152.8991,2.7,112.30,48,"Southern Alaska"
us,b000bqx7,6,"Tuesday, August  7, 2012 17:41:01 UTC",-4.4067,135.2505,4.8,38.80,54,"near the south coast of Papua, Indonesia"
us,2012dza5,8,"Tuesday, August  7, 2012 16:11:20 UTC",39.1260,142.2925,4.7,47.50,164,"near the east coast of Honshu, Japan"
us,2012dza2,5,"Tuesday, August  7, 2012 16:10:59 UTC",10.2352,-84.4362,4.6,106.80,126,"Costa Rica"
